month,advances,declines,ratio
06-Nov-2019,891,940,0.95
05-Nov-2019,690,1147,0.6
04-Nov-2019,1075,774,1.39
01-Nov-2019,1074,791,1.36
31-Oct-2019,1138,690,1.65
30-Oct-2019,1030,792,1.3
29-Oct-2019,1076,773,1.39
27-Oct-2019,1329,380,3.5
25-Oct-2019,746,1018,0.73
24-Oct-2019,775,1030,0.75
23-Oct-2019,911,910,1.0
22-Oct-2019,912,942,0.97
18-Oct-2019,1304,517,2.52
17-Oct-2019,1125,707,1.59
16-Oct-2019,833,996,0.84
15-Oct-2019,855,955,0.9
14-Oct-2019,919,914,1.01
11-Oct-2019,879,952,0.92
10-Oct-2019,644,1188,0.54
09-Oct-2019,986,862,1.14
07-Oct-2019,608,1245,0.49
04-Oct-2019,671,1178,0.57
03-Oct-2019,702,1133,0.62
01-Oct-2019,389,1472,0.26
30-Sep-2019,518,1369,0.38
27-Sep-2019,651,1181,0.55
26-Sep-2019,986,836,1.18
25-Sep-2019,497,1343,0.37
24-Sep-2019,811,1026,0.79
23-Sep-2019,1236,630,1.96
20-Sep-2019,1389,488,2.85
19-Sep-2019,408,1405,0.29
18-Sep-2019,921,889,1.04
17-Sep-2019,516,1328,0.39
16-Sep-2019,985,860,1.15
13-Sep-2019,1157,678,1.71
12-Sep-2019,990,871,1.14
11-Sep-2019,1378,484,2.85
09-Sep-2019,1187,639,1.86
06-Sep-2019,1195,618,1.93
05-Sep-2019,1161,640,1.81
04-Sep-2019,936,852,1.1
03-Sep-2019,544,1259,0.43
30-Aug-2019,1038,762,1.36
29-Aug-2019,640,1188,0.54
28-Aug-2019,691,1145,0.6
27-Aug-2019,1297,516,2.51
26-Aug-2019,1344,490,2.74
23-Aug-2019,1044,802,1.3
22-Aug-2019,348,1521,0.23
21-Aug-2019,452,1398,0.32
20-Aug-2019,641,1185,0.54
19-Aug-2019,955,889,1.07
16-Aug-2019,870,944,0.92
14-Aug-2019,988,817,1.21
13-Aug-2019,546,1277,0.43
09-Aug-2019,1170,633,1.85
08-Aug-2019,1057,742,1.42
07-Aug-2019,854,974,0.88
06-Aug-2019,1329,498,2.67
05-Aug-2019,497,1354,0.37
02-Aug-2019,793,1013,0.78
01-Aug-2019,531,1291,0.41
31-Jul-2019,853,988,0.86
30-Jul-2019,346,1514,0.23
29-Jul-2019,488,1341,0.36
26-Jul-2019,994,816,1.22
25-Jul-2019,809,1021,0.79
24-Jul-2019,566,1260,0.45
23-Jul-2019,925,913,1.01
22-Jul-2019,541,1283,0.42
19-Jul-2019,403,1449,0.28
18-Jul-2019,438,1372,0.32
17-Jul-2019,876,931,0.94
16-Jul-2019,871,952,0.91
15-Jul-2019,605,1241,0.49
12-Jul-2019,898,895,1.0
11-Jul-2019,931,841,1.11
10-Jul-2019,593,1192,0.5
09-Jul-2019,882,919,0.96
08-Jul-2019,351,1488,0.24
05-Jul-2019,468,1317,0.36
04-Jul-2019,920,863,1.07
03-Jul-2019,958,813,1.18
02-Jul-2019,836,951,0.88
01-Jul-2019,909,908,1.0
28-Jun-2019,822,974,0.84
27-Jun-2019,1062,737,1.44
26-Jun-2019,1083,705,1.54
25-Jun-2019,966,830,1.16
24-Jun-2019,761,1058,0.72
21-Jun-2019,899,920,0.98
20-Jun-2019,1132,701,1.61
19-Jun-2019,462,1390,0.33
18-Jun-2019,649,1193,0.54
17-Jun-2019,413,1444,0.29
14-Jun-2019,520,1289,0.4
13-Jun-2019,590,1226,0.48
12-Jun-2019,694,1124,0.62
11-Jun-2019,815,1020,0.8
10-Jun-2019,701,1143,0.61
07-Jun-2019,710,1125,0.63
06-Jun-2019,469,1382,0.34
04-Jun-2019,781,1060,0.74
03-Jun-2019,892,935,0.95
31-May-2019,641,1195,0.54
30-May-2019,866,932,0.93
29-May-2019,680,1120,0.61
28-May-2019,976,827,1.18
27-May-2019,1367,485,2.82
24-May-2019,1449,362,4.0
23-May-2019,800,990,0.81
22-May-2019,983,818,1.2
21-May-2019,605,1198,0.51
20-May-2019,1516,334,4.54
17-May-2019,1022,774,1.32
16-May-2019,846,959,0.88
15-May-2019,657,1159,0.57
14-May-2019,859,963,0.89
13-May-2019,350,1492,0.23
10-May-2019,861,899,0.96
09-May-2019,753,1044,0.72
08-May-2019,441,1370,0.32
07-May-2019,544,1260,0.43
06-May-2019,574,1237,0.46
03-May-2019,713,1099,0.65
02-May-2019,719,1110,0.65
30-Apr-2019,482,1404,0.34
26-Apr-2019,736,1053,0.7
25-Apr-2019,758,1036,0.73
24-Apr-2019,991,797,1.24
23-Apr-2019,738,1080,0.68
22-Apr-2019,418,1418,0.29
18-Apr-2019,543,1288,0.42
16-Apr-2019,896,891,1.01
15-Apr-2019,1033,767,1.35
12-Apr-2019,982,804,1.22
11-Apr-2019,811,976,0.83
10-Apr-2019,771,1013,0.76
09-Apr-2019,800,995,0.8
08-Apr-2019,700,1110,0.63
05-Apr-2019,1148,641,1.79
04-Apr-2019,696,1109,0.63
03-Apr-2019,620,1219,0.51
02-Apr-2019,835,948,0.88
01-Apr-2019,1303,557,2.34
29-Mar-2019,1042,792,1.32
28-Mar-2019,1174,642,1.83
27-Mar-2019,857,988,0.87
26-Mar-2019,1039,809,1.28
25-Mar-2019,468,1403,0.33
22-Mar-2019,644,1192,0.54
20-Mar-2019,691,1160,0.6
19-Mar-2019,963,882,1.09
18-Mar-2019,777,1073,0.72
15-Mar-2019,770,1069,0.72
14-Mar-2019,775,1056,0.73
13-Mar-2019,657,1184,0.55
12-Mar-2019,1193,645,1.85
11-Mar-2019,1312,524,2.5
08-Mar-2019,800,1006,0.8
07-Mar-2019,871,940,0.93
06-Mar-2019,1246,617,2.02
05-Mar-2019,1540,336,4.58
01-Mar-2019,1432,380,3.77
28-Feb-2019,1076,697,1.54
27-Feb-2019,849,955,0.89
26-Feb-2019,610,1188,0.51
25-Feb-2019,1111,691,1.61
22-Feb-2019,1226,589,2.08
21-Feb-2019,1218,571,2.13
20-Feb-2019,1119,676,1.66
19-Feb-2019,1024,753,1.36
18-Feb-2019,583,1216,0.48
15-Feb-2019,642,1158,0.55
14-Feb-2019,854,952,0.9
13-Feb-2019,685,1116,0.61
12-Feb-2019,717,1077,0.67
11-Feb-2019,547,1299,0.42
08-Feb-2019,600,1211,0.5
07-Feb-2019,1037,760,1.36
06-Feb-2019,743,1047,0.71
05-Feb-2019,555,1274,0.44
04-Feb-2019,460,1387,0.33
01-Feb-2019,819,962,0.85
31-Jan-2019,1024,760,1.35
30-Jan-2019,984,811,1.21
29-Jan-2019,806,985,0.82
28-Jan-2019,352,1481,0.24
25-Jan-2019,443,1356,0.33
24-Jan-2019,591,1178,0.5
23-Jan-2019,677,1073,0.63
22-Jan-2019,538,1244,0.43
21-Jan-2019,553,1238,0.45
18-Jan-2019,522,1230,0.42
17-Jan-2019,669,1099,0.61
16-Jan-2019,882,865,1.02
15-Jan-2019,1137,629,1.81
14-Jan-2019,653,1137,0.57
11-Jan-2019,737,1017,0.72
10-Jan-2019,880,886,0.99
09-Jan-2019,721,1061,0.68
08-Jan-2019,871,913,0.95
07-Jan-2019,921,897,1.03
04-Jan-2019,883,893,0.99
03-Jan-2019,569,1199,0.47
02-Jan-2019,545,1212,0.45
01-Jan-2019,997,732,1.36
31-Dec-2018,1078,728,1.48
28-Dec-2018,1133,646,1.75
27-Dec-2018,961,804,1.2
26-Dec-2018,749,1012,0.74
24-Dec-2018,543,1542,0.35
21-Dec-2018,535,1248,0.43
20-Dec-2018,842,949,0.89
19-Dec-2018,1196,584,2.05
18-Dec-2018,998,780,1.28
17-Dec-2018,1023,759,1.35
14-Dec-2018,836,938,0.89
13-Dec-2018,1085,674,1.61
12-Dec-2018,1474,311,4.74
11-Dec-2018,1230,519,2.37
10-Dec-2018,338,1455,0.23
07-Dec-2018,769,999,0.77
06-Dec-2018,385,1405,0.27
05-Dec-2018,473,1311,0.36
04-Dec-2018,815,972,0.84
03-Dec-2018,972,848,1.15
