Symbol,Close,200-EMA,Condition,,
LUPIN,1197.35,991.99,Higher,,
LUXIND,2022.25,1601.35,Higher,,
MASFIN,803.80,834.12,Lower,,
MMTC,54.35,30.07,Higher,,
MOIL,182.45,146.10,Higher,,
MRF,78621.15,76458.52,Higher,,
MGL,1166.10,1051.28,Higher,,
MAHSCOOTER,3486.75,3476.41,Higher,,
MAHSEAMLES,305.00,277.42,Higher,,
M&MFIN,155.00,177.90,Lower,,
M&M,776.00,724.69,Higher,,
MAHINDCIE,183.00,156.56,Higher,,
MHRIL,214.85,203.45,Higher,,
MAHLOG,545.60,445.65,Higher,,
MANAPPURAM,153.85,158.18,Lower,,
MRPL,46.55,36.92,Higher,,
MARICO,479.60,393.38,Higher,,
MARUTI,6736.65,6948.84,Lower,,
MFSL,918.05,722.94,Higher,,
METROPOLIS,2304.85,1979.58,Higher,,
MINDTREE,2200.90,1608.50,Higher,,
MINDACORP,106.80,89.17,Higher,,
MINDAIND,531.85,443.63,Higher,,
MIDHANI,202.80,190.20,Higher,,
MOTHERSUMI,233.15,166.74,Higher,,
MOTILALOFS,731.00,627.90,Higher,,
MPHASIS,1848.70,1468.63,Higher,,
MCX,1567.35,1527.22,Higher,,
MUTHOOTFIN,1197.95,1154.84,Higher,,
NATCOPHARM,925.60,840.82,Higher,,
NBCC,50.15,35.00,Higher,,
NCC,81.05,62.37,Higher,,
NESCO,501.65,537.22,Lower,,
NHPC,26.50,23.08,Higher,,
NLCINDIA,63.60,51.21,Higher,,
NMDC,196.95,117.09,Higher,,
NOCIL,203.65,150.66,Higher,,
NTPC,112.70,99.99,Higher,,
NH,407.25,387.34,Higher,,
NATIONALUM,79.50,47.79,Higher,,
NFL,62.70,43.67,Higher,,
NAVINFLUOR,3162.90,2451.51,Higher,,
NAVNETEDUL,73.50,81.28,Lower,,
NESTLEIND,16870.10,16767.93,Higher,,
NETWORK18,40.85,36.62,Higher,,
NILKAMAL,2125.95,1592.58,Higher,,
NAM-INDIA,349.30,312.91,Higher,,
OBEROIRLTY,542.75,510.46,Higher,,
ONGC,118.10,96.89,Higher,,
OIL,129.45,112.97,Higher,,
OMAXE,71.25,84.59,Lower,,
OFSS,3759.65,3156.07,Higher,,
ORIENTCEM,116.70,86.18,Higher,,
ORIENTELEC,288.85,245.51,Higher,,
ORIENTREF,317.10,231.14,Higher,,
PIIND,2698.65,2156.89,Higher,,
PNBHOUSING,372.05,367.24,Higher,,
PNCINFRA,223.00,205.62,Higher,,
PSPPROJECT,405.00,431.24,Lower,,
PTC,86.25,65.49,Higher,,
PVR,1163.55,1299.63,Lower,,
PAGEIND,28889.75,25892.16,Higher,,
PERSISTENT,2308.75,1481.01,Higher,,
PETRONET,245.85,241.63,Higher,,
PFIZER,5403.90,4753.47,Higher,,
PHILIPCARB,205.15,164.63,Higher,,
PHOENIXLTD,750.65,712.57,Higher,,
PIDILITIND,1877.20,1639.66,Higher,,
PEL,1692.90,1558.11,Higher,,
POLYMED,1012.90,571.48,Higher,,
POLYCAB,1549.95,1112.79,Higher,,
POLYPLEX,1141.00,737.96,Higher,,
PFC,117.00,110.32,Higher,,
POWERGRID,223.40,196.63,Higher,,
PRAJIND,319.15,125.09,Higher,,
PRESTIGE,270.55,271.81,Lower,,
PRSMJOHNSN,129.90,89.98,Higher,,
PGHL,5802.70,5964.68,Lower,,
PGHH,13691.15,11623.85,Higher,,
PNB,35.05,37.21,Lower,,
QUESS,639.85,537.25,Higher,,
RBLBANK,186.20,223.38,Lower,,
RECLTD,141.40,127.75,Higher,,
RITES,241.25,251.48,Lower,,
RADICO,569.45,472.37,Higher,,
RVNL,29.35,25.54,Higher,,
RAIN,179.00,127.34,Higher,,
RAJESHEXPO,515.00,497.13,Higher,,
RALLIS,313.10,263.56,Higher,,
RCF,81.75,58.31,Higher,,
RATNAMANI,1907.35,1547.71,Higher,,
RAYMOND,351.15,343.86,Higher,,
REDINGTON,188.85,140.86,Higher,,
RELAXO,892.55,772.30,Higher,,
RELIANCE,1933.15,1944.82,Lower,,
SBICARD,970.70,864.16,Higher,,
