,Symbol,Sector
537,SHARDAMOTR,Consumer Cyclical
538,PFS,Financial Services
539,DIGISPICE,Technology
540,GIPCL,Utilities
541,DPSCLTD,Utilities
542,IFGLEXPOR,Basic Materials
543,SUNFLAG,Basic Materials
544,COSMOFILMS,Consumer Cyclical
545,ASTRAMICRO,Technology
546,NXTDIGITAL,Communication Services
547,SEAMECLTD,Industrials
548,VOLTAMP,Industrials
549,LUMAXTECH,Consumer Cyclical
550,BODALCHEM,Basic Materials
551,PANACEABIO,Healthcare
552,MOLDTKPAC,Consumer Cyclical
553,SSWL,Consumer Cyclical
554,WHEELS,Consumer Cyclical
555,WONDERLA,Consumer Cyclical
556,JETAIRWAYS,Industrials
557,ELECTCAST,Basic Materials
558,GOCLCORP,Basic Materials
559,KCP,Basic Materials
560,PUNJABCHEM,Basic Materials
561,SADBHAV,Industrials
562,KKCL,Consumer Cyclical
563,SANGHIIND,Basic Materials
564,EXCELINDUS,Basic Materials
565,NRBBEARING,Consumer Cyclical
566,SMSPHARMA,Healthcare
567,DREDGECORP,Industrials
568,BFINVEST,Financial Services
569,MANINFRA,Industrials
570,GALLISPAT,Basic Materials
571,SESHAPAPER,Basic Materials
572,MANALIPETC,Basic Materials
573,BLISSGVS,Healthcare
574,TNPL,Basic Materials
575,USHAMART,Basic Materials
576,INDORAMA,Consumer Cyclical
577,BANCOINDIA,Consumer Cyclical
578,KESORAMIND,Basic Materials
579,GTLINFRA,Technology
580,HSIL,Consumer Cyclical
581,BUTTERFLY,Consumer Cyclical
582,FLFL,Consumer Cyclical
583,INSECTICID,Basic Materials
584,SHANTIGEAR,Industrials
585,ESTER,Basic Materials
586,VINDHYATEL,Industrials
587,HONDAPOWER,Industrials
588,JINDWORLD,Consumer Cyclical
589,TIIL,Industrials
590,LGBBROSLTD,Consumer Cyclical
591,SHAKTIPUMP,Industrials
592,PRABHAT,Consumer Defensive
593,APCOTEXIND,Basic Materials
594,BFUTILITIE,Industrials
595,HBLPOWER,Industrials
596,RELINFRA,Utilities
597,ONMOBILE,Communication Services
598,GLOBUSSPR,Consumer Defensive
599,JISLJALEQS,Industrials
600,ASHAPURMIN,Basic Materials
601,SUVEN,Healthcare
602,TEXINFRA,Real Estate
603,GUFICBIO,Healthcare
604,CIGNITITEC,Technology
605,EKC,Industrials
606,PANAMAPET,Energy
607,TIRUMALCHM,Basic Materials
608,SIYSIL,Consumer Cyclical
609,PNBGILTS,Financial Services
610,ARSHIYA,Industrials
611,POWERMECH,Industrials
612,CLNINDIA,Basic Materials
613,IGARASHI,Consumer Cyclical
614,MANGCHEFER,Basic Materials
615,PRICOLLTD,Consumer Cyclical
616,IMPAL,Consumer Cyclical
617,RANEHOLDIN,Consumer Cyclical
618,MPSLTD,Communication Services
619,INDNIPPON,Consumer Cyclical
620,INDIANHUME,Industrials
621,SRIPIPES,Industrials
622,THANGAMAYL,Consumer Cyclical
623,GFLLIMITED,Communication Services
624,PGEL,Technology
625,ANDHRSUGAR,Basic Materials
626,VISAKAIND,Industrials
627,NCLIND,Basic Materials
628,GMBREW,Consumer Defensive
629,APTECHT,Consumer Defensive
630,GOLDIAM,Consumer Cyclical
631,MANGLMCEM,Basic Materials
632,SNOWMAN,Industrials
633,FIEMIND,Consumer Cyclical
634,FOSECOIND,Basic Materials
635,FCL,Basic Materials
636,XCHANGING,Technology
637,TEXRAIL,Industrials
638,EIHAHOTELS,Consumer Cyclical
639,ELECON,Industrials
640,KINGFA,Basic Materials
641,STERTOOLS,Industrials
642,BAJAJHIND,Consumer Defensive
643,TTKHLTCARE,Healthcare
644,ENIL,Communication Services
645,SADBHIN,Industrials
646,KICL,Financial Services
647,AVTNPL,Basic Materials
648,TAJGVK,Consumer Cyclical
649,DCW,Basic Materials
650,DATAMATICS,Technology
651,JAYNECOIND,Basic Materials
652,TAKE,Healthcare
653,KITEX,Consumer Cyclical
654,SMLISUZU,Consumer Cyclical
655,VADILALIND,Consumer Defensive
656,SUTLEJTEX,Consumer Cyclical
657,RPGLIFE,Healthcare
658,BBL,Industrials
659,WENDT,Industrials
660,CEREBRAINT,Technology
661,GICHSGFIN,Financial Services
662,SKIPPER,Industrials
663,GRAVITA,Industrials
664,RBL,Consumer Cyclical
665,CANTABIL,Consumer Cyclical
666,ZENTEC,Industrials
667,TIPSINDLTD,Communication Services
668,MUTHOOTCAP,Financial Services
669,DYNAMATECH,Consumer Cyclical
670,PLASTIBLEN,Basic Materials
671,SPIC,Basic Materials
672,UNIENTER,Basic Materials
673,ALICON,Industrials
674,DBREALTY,Real Estate
675,SUMMITSEC,Financial Services
676,DECCANCE,Basic Materials
677,DWARKESH,Consumer Defensive
678,BALAJITELE,Communication Services
679,HARITASEAT,Consumer Cyclical
680,NATHBIOGEN,Basic Materials
681,KABRAEXTRU,Industrials
682,VSSL,Basic Materials
683,VHL,Financial Services
684,NELCAST,Industrials
685,MUNJALSHOW,Consumer Cyclical
686,RGL,Consumer Cyclical
687,CENTENKA,Consumer Cyclical
688,KOKUYOCMLN,Industrials
689,RIIL,Industrials
690,MIRZAINT,Consumer Cyclical
691,PATELENG,Industrials
692,NSIL,Financial Services
693,EXPLEOSOL,Technology
694,MUNJALAU,Consumer Cyclical
695,RAMKY,Industrials
696,TWL,Industrials
697,GAYAPROJ,Industrials
698,SHALPAINTS,Basic Materials
699,ORIENTPPR,Basic Materials
700,RML,Consumer Cyclical
701,AMBIKCO,Consumer Cyclical
702,TFCILTD,Financial Services
703,JAYBARMARU,Consumer Cyclical
704,INDRAMEDCO,Healthcare
705,DHFL,Financial Services
706,SANDESH,Communication Services
707,CENTUM,Technology
708,HTMEDIA,Communication Services
709,ALLSEC,Industrials
710,RICOAUTO,Consumer Cyclical
711,RCOM,Communication Services
712,MONTECARLO,Consumer Cyclical
713,NAVKARCORP,Industrials
714,BINDALAGRO,Financial Services
