Date,Open,High,Low,Close,Adj Close,Volume
2017-05-30,62.849998,63.500000,62.000000,62.849998,61.463005,344276
2017-05-31,63.099998,64.500000,62.750000,63.400002,62.000874,408274
2017-06-01,63.799999,63.799999,62.700001,62.900002,61.511906,289507
2017-06-02,63.250000,63.849998,62.849998,63.250000,61.854179,332817
2017-06-05,63.250000,63.500000,62.500000,62.750000,61.365215,237320
2017-06-06,63.000000,63.150002,62.000000,62.250000,60.876247,200037
2017-06-07,62.500000,63.349998,62.150002,62.400002,61.022942,251547
2017-06-08,62.650002,66.699997,62.400002,65.250000,63.810043,3354601
2017-06-09,64.400002,65.199997,63.700001,64.050003,62.636528,468998
2017-06-12,63.700001,65.650002,63.150002,64.250000,62.832115,582023
2017-06-13,64.400002,65.150002,63.700001,63.799999,62.392040,408458
2017-06-14,64.250000,64.900002,63.299999,64.199997,62.783215,496552
2017-06-15,64.500000,66.800003,63.700001,65.750000,64.299019,1311622
2017-06-16,65.900002,66.550003,64.400002,64.699997,63.272179,515498
2017-06-19,65.400002,65.699997,64.449997,65.099998,63.663357,383563
2017-06-20,65.400002,65.900002,64.500000,64.750000,63.321075,389810
2017-06-21,64.099998,65.300003,64.099998,64.300003,62.881012,252781
2017-06-22,64.500000,66.000000,64.500000,64.949997,63.516659,442481
2017-06-23,65.000000,65.550003,63.000000,63.700001,62.294250,365205
2017-06-27,64.000000,64.000000,62.250000,62.650002,61.267422,238246
2017-06-28,62.700001,63.799999,62.599998,62.849998,61.463005,240285
2017-06-29,64.000000,64.750000,64.000000,64.199997,62.783215,391522
2017-06-30,64.000000,64.800003,63.500000,64.000000,62.587627,286705
2017-07-03,64.500000,65.099998,64.050003,64.699997,63.272179,249331
2017-07-04,65.000000,66.150002,64.550003,64.949997,63.516659,569563
2017-07-05,65.500000,66.699997,65.400002,65.900002,64.445702,667749
2017-07-06,66.000000,67.300003,65.750000,66.050003,64.592384,765107
2017-07-07,65.650002,66.550003,65.000000,65.150002,63.712250,426320
2017-07-10,65.500000,66.949997,65.199997,65.500000,64.054520,81984
2017-07-11,65.650002,66.900002,65.000000,65.150002,63.712250,406215
2017-07-12,65.500000,65.750000,65.050003,65.300003,63.858944,216659
2017-07-13,65.750000,66.199997,64.349998,64.849998,63.418869,390920
2017-07-14,64.900002,65.400002,64.099998,64.300003,62.881012,221261
2017-07-17,64.349998,65.500000,64.000000,64.849998,63.418869,314252
2017-07-18,64.900002,66.199997,64.699997,65.000000,63.565563,499240
2017-07-19,65.699997,65.949997,65.000000,65.449997,64.005630,327417
